host	n_obs_alone	n_obs_with_par	n_obs_tot	known_plant	selection_test_01	phylum	class	order	family	subfamily	tribe	genus	n_in_10_best_march_2019	n_obs_with_col_event	n_col_event
eois_janzen49	83	13	96	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Larentiinae	NA	Eois	NA	50	34
eois_nigrosticta	11	2	13	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Larentiinae	NA	Eois	NA	11	9
eois_russearia	12	2	14	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Larentiinae	NA	Eois	NA	11	9
epargyreus_burns02	57	41	98	54	y	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Epargyreus	1	53	51
epargyreus_burns03	28	1	29	26	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Epargyreus	NA	26	24
epargyreus_burns04	20	1	21	19	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Epargyreus	NA	19	18
epargyreus_burns05	30	3	33	28	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Epargyreus	NA	28	28
epargyreus_burns06	14	2	16	12	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Epargyreus	NA	8	8
epargyreus_burns07	22	12	34	19	y	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Epargyreus	NA	19	19
epargyreus_burns11	50	35	85	47	y	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Epargyreus	NA	43	40
epargyreus_burns12	8	6	14	8	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Epargyreus	NA	6	6
ephoria_lybia	0	5	5	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ephyrodes_cacata	33	4	37	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Eulepidotinae	NA	Ephyrodes	NA	32	15
